Time Stamp (ms), Temp1(T1), Temp2 (T2),Humidity (H), Pressure (P),AccelX (X), AccelY (Y), AccelZ (Z)
1001,33.29,33.30,33.79,12.38,-3.20,-2.81,-2.82
2001,33.29,33.30,33.63,12.38,-3.22,-2.81,-2.84
3001,33.29,33.30,33.79,12.38,-3.21,-2.81,-2.84
4001,33.29,33.30,33.48,12.38,-3.20,-2.82,-2.85
5001,33.29,33.30,33.48,12.38,-3.21,-2.81,-2.84
6001,33.30,33.29,33.63,12.38,-3.21,-2.81,-2.84
7001,33.30,33.30,34.11,12.38,-3.21,-2.81,-2.84
8001,33.30,33.29,34.11,12.38,-3.21,-2.81,-2.84
9001,33.30,33.30,33.63,12.38,-3.21,-2.81,-2.84
10001,33.31,33.30,33.95,12.38,-3.21,-2.81,-2.84
11001,33.30,33.30,33.48,12.38,-3.21,-2.81,-2.85
12001,33.31,33.30,33.79,12.38,-3.22,-2.83,-2.86
13001,33.30,33.30,33.79,12.38,-3.22,-2.81,-2.85
14001,33.29,33.30,33.79,12.38,-3.21,-2.81,-2.84
15001,33.29,33.30,33.63,12.38,-3.23,-2.82,-2.85
16001,33.31,33.30,33.48,12.38,-3.23,-2.82,-2.85
17001,33.30,33.30,33.63,12.38,-3.21,-2.83,-2.86
18001,33.31,33.29,33.16,12.38,-3.20,-2.82,-2.85
19001,33.31,33.30,33.00,12.38,-3.22,-2.81,-2.85
20001,33.31,33.30,32.69,12.38,-3.22,-2.81,-2.84
21001,33.31,33.30,33.00,12.38,-3.21,-2.81,-2.84
22001,33.31,33.30,32.37,12.38,-3.22,-2.81,-2.84
23001,33.30,33.30,32.21,12.38,-3.23,-2.82,-2.85
24001,33.31,33.30,32.37,12.38,-3.13,-2.87,-2.89
25001,33.31,33.29,32.21,12.38,-3.13,-2.84,-2.88
26001,33.31,33.30,32.06,12.38,-3.19,-2.78,-2.83
27001,33.30,33.30,31.90,12.38,-3.18,-2.77,-2.82
28001,33.30,33.30,31.74,12.38,-3.17,-2.84,-2.86
29001,33.29,33.29,31.90,12.38,-3.20,-2.81,-2.85
30001,33.30,33.30,31.74,12.38,-3.19,-2.83,-2.86
31001,33.29,33.30,31.74,12.38,-3.20,-2.76,-2.81
32001,33.31,33.29,31.43,12.38,-3.21,-2.85,-2.87
