Time (ms), Solar1 (S1), Solar2 (S2), Solar3 (S3), Solar4  (S4)
1000,-1.11,-0.53,-0.38,-0.8
2000,-1.16,-0.56,-0.42,-0.8
3000,-1.15,-0.55,-0.42,-0.8
4000,-1.16,-0.56,-0.42,-0.8
5000,-1.15,-0.56,-0.42,-0.77
6000,-1.13,-0.55,-0.4,-0.76
7000,-1.14,-0.55,-0.4,-0.76
8000,-1.13,-0.56,-0.41,-0.79
9000,-1.22,-0.59,-0.42,-0.8
10000,-1.16,-0.59,-0.43,-0.79
11000,-1.08,-0.48,-0.31,-0.67
12000,-1.8,-0.5,-0.34,-0.7
13000,-1.03,-0.4,-0.23,-0.6
14000,-1.03,-0.4,-0.24,-0.6
15000,-1.61,-1.06,-0.28,-0.6
16000,-1.62,-1.31,-0.23,-0.69
17000,-1.14,-0.41,-1.15,-0.64
18000,-1.05,-0.47,-0.33,-0.71
19000,-1.03,-0.45,-0.3,-0.69
20000,-1.14,-0.54,-0.39,-0.76
21000,-1.24,-0.54,-0.46,-0.77
22000,-1.58,-0.54,-0.41,-0.94
23000,-1.13,-0.55,-0.41,-0.76
24000,-1.14,-0.55,-0.41,-0.77
25000,-1.39,-0.92,-0.81,-1.14
26000,-1.46,-1.03,-0.95,-1.22
27000,-1.47,-1.05,-1,-1.25
28000,-1.65,-1.09,-1.3,-1.29
29000,-1.51,-1.06,-1.05,-1.2
30000,-1.5,-1.13,-1.07,-1.33
31000,-1.28,-0.78,-0.71,-0.94
32000,1.78,1.47,1.7,1.67
33000,1.89,1.75,1.87,1.89
34000,2.05,2.04,2.09,2.11
35000,2.06,2.08,2.12,2.13
36000,2.06,2.11,2.14,2.13
37000,2.06,2.11,2.15,2.13
38000,2.05,2.11,2.14,2.12
39000,2.06,2.11,2.14,2.12
40000,2.05,2.09,2.13,2.11
41000,2.04,2.08,2.13,2.1
42000,2.04,2.08,2.12,2.09
43000,2.04,2.07,2.12,2.09
44000,2.04,2.07,2.12,2.09
45000,2.04,2.08,2.13,2.1
46000,2.04,2.08,2.13,2.1
47000,2.05,2.09,2.14,2.11
48000,2.05,2.08,2.13,2.11
49000,2.06,2.1,2.14,2.12
50000,2.07,2.11,2.15,2.12
51000,2.06,2.1,2.15,2.12
52000,2.09,2.13,2.18,2.14
53000,2.12,2.19,2.23,2.18
54000,2.14,2.27,2.31,2.21
55000,2.14,2.32,2.34,2.21
56000,2.12,2.31,2.33,2.2
57000,2.11,2.3,2.32,2.19
58000,2.12,2.3,2.32,2.19
59000,2.11,2.29,2.32,2.18
60000,2.11,2.29,2.32,2.19
61000,2.11,2.29,2.31,2.18
62000,2.1,2.29,2.31,2.18
63000,2.1,2.29,2.31,2.19
64000,2.11,2.29,2.31,2.19
65000,2.11,2.29,2.32,2.19
66000,2.12,2.3,2.33,2.2
67000,2.12,2.3,2.33,2.2
68000,2.13,2.31,2.33,2.21
69000,2.13,2.31,2.33,2.21
70000,2.13,2.31,2.33,2.21
71000,2.13,2.31,2.33,2.2
72000,2.12,2.3,2.32,2.2
73000,2.11,2.29,2.31,2.18
74000,2.11,2.28,2.31,2.18
75000,2.1,2.28,2.3,2.18
76000,2.1,2.28,2.3,2.17
77000,2.1,2.28,2.3,2.18
78000,2.1,2.28,2.3,2.18
79000,2.11,2.29,2.31,2.19
80000,2.11,2.29,2.31,2.19
81000,2.12,2.3,2.32,2.2
82000,2.12,2.3,2.32,2.2
83000,2.12,2.3,2.32,2.2
84000,2.11,2.29,2.31,2.19
85000,2.11,2.28,2.31,2.18
86000,2.1,2.27,2.29,2.17
